"";"desc";"Estimate";"Std. Error";"z-value";"p-value";"low0.95CI";"high0.95CI"
"GESTATIONAL_AGE_ABCD6";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE";150,389576870484;4,49503186272048;33,4568433469269;2,04669302006117e-245;141,579476310192;159,199677430776
"(Intercept)_ABCD11";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";-2478,75489603548;177,882510619732;-13,9347869973256;3,89360243744619e-44;-2827,39821032972;-2130,11158174124
"LTPA_DUR_ABCD2";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";7,16493172815387;1,7531243709975;4,08695004569307;4,3708118333507e-05;3,72887110057933;10,6009923557284
"GESTATIONAL_AGE_ABCD7";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";150,51294949055;4,44013283331958;33,8982987988723;7,05748077985058e-252;141,81044905067;159,215449930431
"SEX1_ABCD3";"BIRTH_WEIGHT~LTPA_DUR+GESTATIONAL_AGE+SEX";-137,975394518984;10,815002573693;-12,757777317095;2,82137012830559e-37;-159,172410056131;-116,778378981838
"(Intercept)_ABCD12";"MACROSOMIA~LTPA_DUR+";-1,96751879867349;0,0497934932977113;-39,5135723237945;0;-2,06511225220144;-1,86992534514554
"LTPA_DUR_ABCD3";"MACROSOMIA~LTPA_DUR+";0,0366378196252701;0,010846893244063;3,37772473655749;0,000730882027446682;0,0153782995227557;0,0578973397277844
"(Intercept)_ABCD13";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";-24,5731414143929;1,39528761609228;-17,6115240549571;2,0096052938178e-69;-27,3078548900085;-21,8384279387773
"LTPA_DUR_ABCD4";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";0,030796366931491;0,0113964703054796;2,70227237960543;0,00688673199931314;0,0084596955818708;0,0531330382811111
"GESTATIONAL_AGE_ABCD8";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE";0,560575628778323;0,0343443756724407;16,3221959288126;6,86220895527458e-60;0,493261889388825;0,62788936816782
"(Intercept)_ABCD14";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";-24,3511253949976;1,39832152459073;-17,414539479484;6,40018046414129e-68;-27,0917852220025;-21,6104655679926
"LTPA_DUR_ABCD5";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,029647983162171;0,0114597114656063;2,58714918356825;0,00967736834554865;0,00718736141636198;0,0521086049079799
